AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_DELAY
DL,ATL,MCI,-23.999997012457946
OO,GJT,DEN,6.0000100225209
AA,ORD,SAN,67.00000638146244
AA,SAN,DFW,49.00000147892504
UA,IAH,SNA,-19.999996979186733
WN,STL,DTW,-11.00000065577889
EV,DFW,LFT,39.00000207434475
WN,SFO,LAS,-10.000002385174646
UA,MSP,SFO,243.9999969965369
WN,DEN,PDX,54.99999594967311
DL,DTW,PBI,-15.999995818694224
US,BOS,PHL,-32.00000101224729
DL,FLL,ATL,-33.00000103657853
OO,MSP,BNA,11.999990146777236
WN,SNA,OAK,45.99999586640917
UA,AUS,IAH,1.0000017127780652
DL,MSP,PHX,-27.00000336242754
EV,IAH,CLT,-25.000003087430372
F9,SNA,DEN,-0.9999989316203894
WN,GRR,BWI,-11.999998321698925
EV,GPT,IAH,7.0000047030514985
WN,IAD,LAS,12.000006055854573
OO,SLC,OMA,-14.000000673457293
EV,IAH,ELP,9.999994318603402
UA,LAX,IAD,17.000003941382843
OO,ORD,DSM,209.99999666184888
WN,MCI,MDW,10.999998159816961
MQ,ORD,AZO,-20.999995247354676
EV,IAH,BTR,-12.999997655458593
US,SEA,CLT,-2.000006925259221
EV,ATL,OMA,-2.0000007052398345
US,SNA,PHX,-4.000002900338089
US,PHL,PIT,-2.000002272234518
EV,ATW,ORD,-7.999994970015592
UA,CLE,FLL,-14.000000335059234
DL,SLC,SAT,-12.999996970548125
UA,CLE,EWR,42.00000547899491
EV,DAL,IAH,24.000000384440774
UA,MIA,EWR,-26.99999971789996
MQ,DFW,AMA,7.000000546127115
NK,DTW,ATL,134.0000011953682
AA,DFW,MCO,73.00000004397893
F9,DEN,TPA,223.00000315777356
EV,DEN,ISN,6.00000930485162
HA,ITO,HNL,-5.000003501898448
AA,DFW,ORD,17.999999970376834
EV,BTR,DFW,7.0000002001487545
US,PHL,TPA,-12.999995535087102
EV,BDL,ORD,64.00000593734005
DL,LAX,MSP,-4.999999509788935
OO,MRY,LAX,-4.999990310044716
AA,JFK,LAX,-11.999999233563386
UA,RDU,SFO,-5.000002556684358
OO,SUN,SLC,17.000017056417132
WN,SFO,SNA,37.00000065683312
UA,ORD,LGA,-15.999998031656759
EV,ATL,XNA,-24.999998948668583
EV,EWR,SDF,-4.000001060481054
WN,MDW,SJC,16.000003838948345
WN,OAK,SNA,4.999995596143876
UA,EWR,DEN,16.999997470335916
DL,LAS,DTW,-23.000000877214006
WN,ATL,MSP,1.9999985408145236
WN,LAX,MSY,11.000002005414963
VX,DCA,DAL,130.00000334068577
MQ,DSM,ORD,31.999996363226877
WN,DAL,PHX,-11.99999894341358
OO,BIL,SLC,-14.000017417208156
EV,BNA,IAH,0.9999936686090294
US,ORD,CLT,102.999998952998
UA,IAD,PDX,60.00000641849408
UA,SFO,SAN,23.000001098743788
EV,ATL,XNA,43.00000287739296
OO,SMF,SLC,5.999998038593638
MQ,VPS,DFW,29.000019868803328
F9,DEN,SAN,266.00000630197434
AA,SEA,DFW,31.999992771662992
EV,ATL,BTR,-11.999998514061055
US,MIA,PHL,114.99999769948786
WN,BWI,ABQ,33.999995017482966
F9,TPA,ILG,8.000439934183962
UA,IAH,DEN,166.00000120451708
UA,IAD,LAX,23.000007417994958
US,CLE,CLT,-20.999998416874043
DL,DFW,ATL,20.000000140533178
B6,SJU,STX,-4.025063196877454e-05
UA,ORD,LGA,239.0000012806302
AA,CLT,ORD,-5.0000007815391925
WN,SJC,ONT,6.000001585826798
DL,SAN,MSP,1.0000012539698773
VX,JFK,LAS,18.00000005102433
WN,PDX,SAN,10.999996301707267
WN,HOU,DAL,-6.00000098716577
AS,PDX,OGG,-8.00000334021847
MQ,ORD,SUX,34.000005618063774
WN,MCO,PIT,-7.000008268043501
UA,RSW,ORD,-15.000004242305678
EV,IAH,DAL,-12.00000113035808
HA,LIH,HNL,12.000009337710008
WN,HOU,PNS,245.0000067302856
WN,ATL,MDW,79.99999754321676
DL,LAS,LAX,39.0000006164851
DL,ATL,MEM,76.00000251595543
EV,XNA,IAH,-8.999998307956105
WN,SDF,LAS,87.00000937970317
F9,DEN,FAT,-14.999993352598182
DL,SLC,MSY,175.00000150649723
UA,EWR,EGE,12.999971995809862
OO,MSN,DEN,6.9999986296094505
US,ORD,PHL,-6.00000017189619
DL,SAT,ATL,14.999998148901884
AA,STT,MIA,303.99999462413376
UA,PHL,SFO,-20.999997127441723
OO,MKE,ORD,120.00000597912535
B6,JFK,RSW,10.999995190379138
WN,OAK,SNA,-15.000005203342873
WN,MDW,HOU,13.00000322859676
B6,JFK,FLL,127.99999386301002
DL,ATL,DAB,-8.999995243861932
EV,LCH,DFW,58.999988451214264
US,CLT,DEN,-9.99999971664301
WN,BWI,SAN,107.00000123175468
OO,SMF,LAX,25.99999591835311
DL,ATL,GSO,7.000002572760909
HA,KOA,HNL,18.00000163626407
WN,BUR,OAK,-22.000001105270755
AS,WRG,PSG,36.000014482803316
B6,IAD,JFK,-4.9999946728051015
MQ,DSM,DFW,23.99999850547158
MQ,ORD,DSM,6.999995739578058
US,MIA,MSY,23.9999981653539
AS,SAN,PDX,-16.999992571556547
DL,ATL,OMA,-17.999999354072912
AA,SJC,DFW,82.99999540876249
MQ,ORD,FAR,544.0000196391721
AS,LAS,ANC,-19.999962533316427
DL,SYR,ATL,2.999990555471939
WN,HOU,BNA,62.99999585161201
UA,JFK,LAX,-40.999997739209284
AA,COS,DFW,-6.999988441369581
WN,SAT,HOU,65.99999918401971
UA,DEN,KOA,-11.000013244751592
UA,IAH,SEA,-13.000001750818967
B6,BOS,RSW,14.999995075741914
MQ,CLE,ORD,6.999999905595125
WN,IND,DEN,31.999996715068693
WN,BWI,RDU,-15.999998505541178
EV,IAH,CHS,1.0000040113509385
AA,DFW,DEN,276.00000025721636
WN,LAS,TPA,7.000000873818429
WN,HOU,EWR,-12.999999159825848
WN,FLL,ATL,9.999998748116795
UA,PDX,DEN,-21.000003402710917
EV,RIC,IAH,2.0000082453485675
UA,DEN,SNA,57.00000099617743
US,SEA,PHX,-8.000006657070358
WN,SAT,DAL,10.999998342850915
DL,TPA,DTW,124.99999974420416
OO,FAR,DEN,384.0000054532275
NK,ORD,MSP,26.000003173463753
MQ,DFW,CID,94.99999413893975
DL,SEA,JFK,16.999994802124554
OO,LAX,TUS,-3.0000031210219475
US,RNO,PHX,-18.0000037149941
AA,LGA,DFW,-7.999994464832973
OO,LAX,PHX,2.999999480759705
VX,JFK,SFO,6.999998958166714
EV,ATL,MOB,107.99998821159838
EV,ORD,FAR,1.0000193738610648
UA,IAH,DCA,-8.000000786752139
AA,MIA,LAX,30.99999958607852
WN,SMF,LAS,88.99999795969798
EV,CHA,ATL,-20.000003991956135
EV,ORD,SBN,25.999999841159678
WN,DEN,MDW,10.99999422819366
DL,DEN,ATL,-4.000003463608415
DL,SAN,SLC,-7.9999958255362245
US,PHL,RDU,284.00000396112654
US,PHX,HNL,6.9999953587623835
WN,MDW,STL,61.0000117958821
DL,PBI,ATL,73.9999974426832
F9,DEN,DFW,50.00000348745935
EV,ORD,MEM,47.99999963393222
AA,LAS,LAX,34.00000118662988
WN,STL,MCI,59.000006210875014
WN,PHL,PBI,-1.9999923471177468
F9,FAR,DEN,170.00001134024203
UA,IAH,DEN,16.000001712984083
EV,SCE,ATL,-12.000026694015105
WN,BWI,SAN,17.000002050476123
DL,MSP,ATL,66.99999570021225
AA,ORD,DCA,-22.0000011429009
OO,MKE,ORD,33.00000340373089
WN,ATL,AUS,4.999999949207741
DL,TPA,ATL,-14.999998695434535
UA,CLE,ORD,28.000003488407593
MQ,DCA,JFK,780.000004982068
OO,SMF,SLC,-4.0000018272218725
WN,SFO,SNA,-20.000000545710606
UA,BOS,IAD,-17.999998004899886
EV,MSP,CLE,48.999989974270406
DL,ATL,MCO,12.999999191934059
AS,PDX,LAS,-22.99999869536846
OO,BOI,SAN,-7.999998804931593
OO,BOI,SLC,-20.999997715767783
HA,HNL,LAS,-23.999988421488865
AA,SAT,DFW,6.999998350322336
US,TPA,DCA,-23.999999435681943
UA,EWR,SFO,13.999997212035058
UA,HNL,LAX,20.99999808589636
AA,ORD,DFW,386.0000002266872
WN,HOU,LAX,12.999998719372485
WN,RNO,LAS,9.99999465867024
WN,ATL,TPA,-6.000000215966082
B6,HPN,FLL,-16.00000528328176
MQ,MHK,ORD,-40.00000324585353
WN,OAK,SNA,143.9999953519654
EV,ORD,CRW,-11.999990821533515
OO,FAT,PHX,-8.99999023738993
AA,MIA,BWI,-20.000000621895417
MQ,ORD,FNT,331.0000131229162
MQ,ORD,DTW,-13.00000628674507
WN,LAS,SFO,47.999998612038624
UA,LAX,IAH,81.00000130272413
DL,BWI,ATL,-18.000000534802467
AS,SEA,SMF,-5.999999555909973
OO,SEA,FAT,101.99999715027326
AA,OKC,DFW,40.00000203631318
MQ,DFW,MAF,74.99999711890385
B6,TPA,JFK,75.00000319774728
B6,BOS,MCO,-18.000001567190417
UA,PIT,DEN,36.000005211019456
WN,LBB,LAS,-26.000000329917263
OO,SFO,SBP,-3.9999957589042765
AS,SEA,DFW,21.000001396701
DL,ATL,TPA,-9.99999977890991
AS,PSP,SEA,-19.999992295002045
WN,IND,ATL,-3.4340395558274395e-06
WN,RSW,IND,288.9999988640444
US,CLT,ATL,-14.000000908256574
WN,SEA,ABQ,12.99999051087422
B6,RSW,JFK,203.99999777269207
EV,IAH,CRP,167.0000097356838
WN,ATL,RIC,14.000005510316505
EV,IAH,CVG,-7.000007141881106
UA,LAX,OGG,110.00000086637152
MQ,ORD,EVV,188.99999920047196
WN,HOU,RDU,84.00000104593946
OO,PSP,SFO,-23.999997114523993
EV,SBN,ORD,-17.000000112661787
AS,DFW,SEA,31.000002915150507
OO,SEA,DEN,177.99999224247762
B6,BOS,PIT,-25.000006214641473
UA,SEA,SFO,-12.000008216555102
DL,CLT,ATL,-19.0000003857414
UA,EWR,PHX,151.99999670479275
DL,ATL,BNA,41.99999653990474
WN,MHT,BWI,-24.00000969834533
EV,TUL,ATL,1.0000105198214158
US,MSP,CLT,-24.00000548777068
US,CLT,RDU,-0.9999978367269975
US,CLT,LAS,-9.999997722758067
US,LGA,CLT,-22.999995216748587
US,PHL,SJU,-7.999992955929294
US,LGA,BOS,72.00000353194199
WN,PHX,IND,119.00000297757089
MQ,LIT,ORD,17.999993544447527
OO,DLH,ORD,-3.999995230263899
DL,DTW,LAS,-16.000000518209475
HA,HNL,LIH,16.99999920614985
DL,MSP,ATL,-5.000005024186912
DL,ATL,MCO,17.999999540946213
AA,JFK,SFO,8.99999906521067
B6,BOS,BUF,7.000007195997874
WN,BDL,MCO,11.000007718992627
DL,CVG,MCO,1.000007538196897
OO,PDX,DEN,-25.000005887128438
B6,HPN,MCO,-26.000001977839275
DL,ATL,FAY,-11.9999901393696
WN,ONT,MDW,54.99999898067307
UA,MIA,ORD,1.9999985158259008
WN,MCI,MDW,-10.00000102511865
OO,SLC,IDA,15.000004144154872
B6,BOS,DFW,22.999999262638745
WN,DAL,HOU,197.00000271729925
EV,IAH,SDF,19.000004467512003
WN,ELP,DAL,20.000002545491057
WN,ISP,BWI,-23.999994292069594
OO,SEA,ONT,-13.000002245907595
US,PHL,LAX,-33.99999550506937
AS,DFW,SEA,21.00000223882793
AA,DFW,ORD,23.000000257891116
B6,EWR,PBI,-6.999998155555389
DL,ATL,MKE,-8.999994982856343
UA,EWR,IAH,16.99999565039849
WN,TPA,MKE,54.000006036210166
EV,ATL,MGM,-13.00000717419892
WN,BDL,BWI,21.000010304591285
OO,DEN,SLC,51.99999840664757
AA,MCI,DFW,4.9999998631913485
UA,JFK,SFO,63.00000143556558
EV,TUL,DEN,-33.99999073367015
WN,MCI,STL,29.000008579258573
AS,OGG,SJC,-39.9999970489169
NK,MYR,BOS,-51.00001785919098
WN,HOU,PHX,8.999997628971194
DL,MCO,ATL,8.999998638118718
UA,RSW,DEN,84.99999674569577
OO,CVG,BNA,10.000003582950153
UA,SFO,SAN,-10.999999005545995
UA,DEN,LAS,92.99999868322895
MQ,DFW,ACT,12.999999146311673
WN,SJC,BUR,45.99999945973143
US,PHX,SLC,-7.999997945584411
AS,SLC,SEA,-7.999996595854881
DL,AUS,ATL,-7.999996059569831
OO,SLC,MFR,8.00001107158911
WN,ATL,MDW,47.999998026185395
DL,ATL,FLL,15.999996729627494
DL,CMH,LAX,-24.000000153474403
B6,DCA,FLL,-22.00000158014344
OO,MKE,ORD,-20.999995584784415
F9,SFO,DEN,8.000003184999663
OO,LAX,SAT,24.00000374142724
OO,SFO,SBA,188.00001506562177
UA,LAX,IAD,-35.99999486096072
WN,LAX,AUS,-3.9999978328932357
OO,FAT,SFO,-5.999990268998651
DL,SEA,ANC,-2.9999735602092343
WN,PHX,SAT,5.000001667252043
WN,RSW,DCA,66.99999364666114
WN,DCA,DAL,76.00000130928353
US,CLT,MCO,4.000000208062943
UA,LAX,LAS,-12.000000131586809
NK,LAX,DTW,64.00000177409724
UA,LAX,EWR,-4.9999954922502425
DL,JAX,ATL,39.000003287598716
DL,MSP,DTW,-16.000006376192502
DL,RDU,ATL,14.999996216320806
OO,DEN,LIT,7.0000051169073565
WN,CMH,STL,26.0000044317731
WN,ELP,AUS,-2.999996079824264
AA,MIA,TPA,31.999999594542437
EV,BNA,IAH,-7.000006770845566
US,MIA,CLT,-19.00000366676619
DL,MSP,PHX,37.999997680252015
EV,LIT,IAH,-15.000004974674091
EV,IAH,MCI,-6.999998419613895
WN,FNT,LAS,-0.999976898547601
MQ,GGG,DFW,26.999987846202707
MQ,DFW,GRK,93.99999089630228
F9,DEN,ATL,-0.999998408395669
DL,CHS,ATL,-5.0000033755308735
WN,MCO,BWI,15.999999702433957
WN,DCA,MDW,36.000000111430474
DL,ATL,SAT,-5.999999218224559
WN,DEN,STL,184.00000488177844
MQ,ORD,TVC,156.99999570997687
MQ,BWI,ORD,6.999995559524805
AS,SEA,SNA,-6.9999978715416304
OO,DEN,SLC,-20.000002058399836
WN,AUS,MDW,104.9999681069973
DL,LIT,ATL,-20.000003268029467
US,CLT,ORF,156.00000180297846
WN,HOU,BNA,49.99999639461174
UA,LAX,IAH,-1.9999995990061308
B6,LGB,SMF,-1.0000022495895848
WN,PHX,LAS,-1.0000014767684817
B6,MCO,DCA,-12.000002698446096
EV,EWR,CMH,142.99999394074015
OO,GRB,MSP,-14.99999182869022
WN,BWI,PWM,-15.000023683646944
WN,LAS,MKE,85.00000481037023
WN,ATL,RSW,16.99999578427426
WN,LAS,SMF,-15.00000112395859
WN,MDW,EWR,577.0000102389822
UA,FLL,IAH,51.00000083430767
OO,GEG,SLC,27.000006105462965
DL,VPS,ATL,-9.99997786576013
DL,MLB,ATL,-15.999997336667434
DL,ATL,MCO,-10.000000906370374
OO,SFO,PSP,2.0000015000012468
EV,IAH,SHV,82.00000154503714
AS,SMF,SEA,3.000000208654683
UA,EWR,STT,-25.999996935196812
AA,SEA,DFW,19.99999286665567
EV,GSO,ATL,10.999992404416467
B6,PSE,MCO,-26.999993509911157
EV,ATL,HPN,234.00000599105198
WN,ISP,MCO,-30.999997633583995
WN,DEN,LAX,-24.000002648000653
EV,DEN,LNK,-3.0000085531450935
WN,LAS,PIT,35.99999424065471
WN,BDL,BWI,11.000010762298729
DL,ATL,CVG,-8.000006355738563
OO,DEN,FSD,-7.9999990955436004
DL,DTW,MSP,83.99999784810761
DL,RSW,MSP,236.99999619196768
US,MEM,CLT,-39.00000230197006
OO,FAT,SLC,-2.999987633697927
WN,CRP,HOU,-1.0000037994246753
MQ,CHA,DFW,6.999995545683188
US,LAX,PHL,21.00000055093541
WN,DAL,AUS,-5.999995953984978
WN,ROC,MCO,-33.999995043044954
MQ,DFW,LIT,7.00000514788298
WN,SJC,PHX,-14.00000562462754
EV,IAH,MEM,1.0000009603280375
DL,ATL,CAE,4.000002261681715
MQ,DFW,SJT,30.999988309631735
B6,BOS,PBI,31.000005476317273
UA,MCO,LAX,7.000000387989697
US,PHX,MCI,-17.999997270952214
US,CLT,JAX,-7.000005104921051
UA,FLL,IAH,-23.000000610400583
DL,FLL,JFK,-26.000000613015295
US,MIA,IAH,-14.000002599551564
DL,ATL,GSP,-3.9999939432079756
AS,SLC,SFO,-5.999995140781927
OO,SFO,RDM,-1.999992577852062
WN,MDW,DAL,21.000003206097237
F9,DEN,SNA,-12.999995595785315
B6,FLL,PVD,1.9999876450979954
US,PHL,RDU,62.00000424193537
DL,LGA,ATL,-28.999995478595643
US,MSP,PHL,22.999994460971088
US,CLT,MSP,171.00000123635718
OO,LAX,LAS,91.99999937789238
DL,JAN,ATL,18.000005010424665
OO,SAN,LAX,-19.999998988601646
OO,ACV,SFO,7.00002368774194
OO,ASE,ORD,60.00000895422576
AA,DFW,BDL,52.99999713310547
US,PHX,ORD,110.00000055397709
WN,ALB,MCO,258.9999967470935
WN,SNA,PHX,26.999996443124104
NK,TPA,FLL,-11.000001126400328
HA,OGG,OAK,-15.999991302303705
UA,IAH,LGA,10.000001385342504
B6,SYR,JFK,-22.000007348712366
WN,BWI,SDF,4.000004582936853
EV,MSP,DFW,54.999994079680604
WN,GRR,MCO,-27.999999738193075
MQ,BNA,LGA,0.9999947584806321
WN,DAL,LAX,67.00000424659258
DL,BNA,ATL,-41.000004381222304
B6,JFK,CLT,280.999997146697
WN,SFO,SNA,23.99999898705687
AA,DCA,MIA,142.99999675830642
MQ,DTW,ORD,-5.537087531592988e-06
DL,MCO,ATL,1.9999989728042706
EV,BHM,LGA,-5.999999968108689
UA,PHL,SFO,12.000003888807772
US,PHX,LAX,5.999999290107734
UA,SFO,ORD,1.9999983795224026
WN,BUR,OAK,-14.999999077306924
B6,BOS,TPA,-21.000000679972096
OO,SLC,HLN,-6.0000700142376076
DL,ATL,MIA,8.999994794494263
WN,MCI,MDW,-1.0000017478780308
AA,JFK,MIA,-1.0000063731112832
AA,DFW,DTW,-20.000002236483894
OO,DEN,FCA,53.00002203478761
DL,MSP,DTW,-15.000007039489404
MQ,ORD,MLI,6.9999868560062275
OO,SFO,PSP,1.1128610495347857e-06
MQ,ORD,FWA,215.99999406626952
WN,MAF,LAS,7.000011908417285
DL,LGA,ATL,9.000004439326368
EV,MLU,IAH,1.9999986045516067
OO,PHX,DEN,3.9999985296887957
F9,DEN,PHX,132.00000205481768
WN,HOU,BWI,-7.999999322136823
US,EWR,PHX,21.99999579504091
OO,ATW,MSP,-3.9999943505842097
WN,DCA,DAL,-9.999998989560588
DL,ATL,RIC,-7.9999935761006356
AA,DFW,MKE,29.000005494479485
AA,SJU,ORD,106.9999954444221
WN,PHL,ATL,7.000001533034499
MQ,ORD,CID,29.999993644735163
DL,DAY,ATL,-14.99999264833157
DL,ATL,FNT,32.00001720672781
WN,PHX,ATL,46.99999838363821
UA,SFO,SEA,-5.000005348502093
OO,SLC,BUR,94.00000278622645
UA,EWR,TPA,-20.000003798604375
EV,EWR,DTW,791.9999932214906
UA,EWR,LAX,-27.000002554871436
EV,MCI,EWR,-15.999998732855325
AA,SFO,DFW,-5.000001097415698
UA,MSY,DEN,7.999999859571641
AA,DFW,OKC,26.00000359574109
WN,SAN,SFO,3.0000011498989494
NK,LGA,ORD,-0.999991280585327
DL,SEA,ATL,6.999994967416246
WN,HOU,LAX,0.999999362356931
OO,MSP,RHI,-18.000005559110626
MQ,ORD,FAR,310.0000179437824
WN,PHX,RNO,-14.000001949004748
WN,LAS,BNA,-14.000003834534006
WN,SAN,ABQ,-6.00000196926279
EV,EWR,ROC,-6.999998586738421
UA,MSP,DEN,6.999996516618605
B6,BOS,MSY,-9.000001773573352
AS,FAI,SEA,-2.0000319951186967
AA,MCO,MIA,-10.000006633447526
EV,DEN,ISN,51.00000891935683
AS,SAN,SEA,15.00000383306671
B6,FLL,JFK,27.00000199577447
OO,LAX,SAN,-6.999998762643301
EV,STL,EWR,-17.999997527706476
DL,JFK,SLC,109.00000153545173
WN,OAK,BUR,43.99999849180353
OO,MFR,DEN,9.000016421170244
OO,RDM,SLC,-20.999992427235007
EV,EWR,DSM,8.999991808046882
WN,TPA,IND,3.0000055529271705
UA,CLE,LAX,-28.99999462830518
OO,SJC,DEN,106.99999454791245
HA,OGG,HNL,-1.0000009163452432
EV,IAH,GJT,-17.000002161184966
WN,SNA,SFO,68.99999572182307
WN,PHX,GEG,33.99999493864121
AS,PDX,SJC,-22.999998922801986
WN,LBB,DAL,-11.000001015630446
UA,MSY,EWR,-39.999997577858515
WN,LAS,BOI,-26.9999976641978
EV,ATL,PIA,6.999997807480412
AA,ORD,DFW,438.00000126269936
WN,STL,LAX,69.00000208962831
US,BOS,LGA,41.000001318674414
WN,CLE,MDW,15.00000078746858
EV,ORD,BDL,-13.000005750946109
DL,ATL,MSP,18.00000074953486
MQ,ORD,FSD,7.000002078324648
B6,JFK,FLL,36.99999558938566
UA,IAH,LAS,-18.99999923634399
WN,HOU,MSY,24.999998111297778
WN,OAK,PHX,25.999992965071073
EV,IAH,BTR,-2.999997550059767
B6,EWR,FLL,238.9999920378022
AA,DFW,FLL,13.999997167924729
WN,SMF,BUR,36.000001270138476
AA,JFK,MIA,-15.000006782470287
US,CLT,ATL,10.000000524732911
OO,PHX,LAX,117.9999993740254
EV,EWR,DAY,-15.000007893029363
US,PHL,MSY,43.000001551014236
UA,EWR,PBI,-4.9999980712731755
MQ,TLH,MIA,-21.999993654074196
EV,IAH,VPS,-1.9999967648522912
UA,IAD,BOS,90.00000219377186
